features,reducer_type,n_components,y_col,model_type,best_params,accuracy,f1_macro,f1_weighted,roc_auc_score
umap_3,UMAP,3,fourway_label,XGBClassifier,{},0.678,0.661,0.671,0.882
tsne_4,T-SNE,4,fourway_label,XGBClassifier,{},0.679,0.659,0.672,0.881
pca_2,PCA,2,fourway_label,LogisticRegression,{'classifier__max_iter': 1000},0.741,0.62,0.669,0.881
openai_embeddings,,1536,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 1000},0.816,0.728,0.809,0.879
umap_2,UMAP,2,fourway_label,XGBClassifier,{},0.665,0.647,0.656,0.878
tsne_2,T-SNE,2,is_bot,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.795,0.791,0.797,0.871
tsne_3,T-SNE,3,is_bot,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.783,0.776,0.784,0.871
openai_embeddings,,1536,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.806,0.704,0.794,0.871
tsne_2,T-SNE,2,is_bot,XGBClassifier,{},0.797,0.794,0.799,0.871
openai_embeddings,,1536,is_factual,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.819,0.819,0.819,0.87
tsne_4,T-SNE,4,is_bot,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.79,0.785,0.791,0.868
tsne_3,T-SNE,3,is_bot,XGBClassifier,{},0.781,0.774,0.782,0.866
pca_7,PCA,7,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.81,0.737,0.809,0.866
openai_embeddings,,1536,is_bom_astroturf,XGBClassifier,{},0.808,0.721,0.802,0.865
umap_2,UMAP,2,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.869,0.849,0.867,0.865
openai_embeddings,,1536,is_factual,XGBClassifier,{},0.807,0.807,0.807,0.865
openai_embeddings,,1536,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.821,0.821,0.82,0.864
pca_3,PCA,3,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 100}",0.806,0.729,0.804,0.862
umap_3,UMAP,3,is_bot,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.779,0.775,0.78,0.862
tsne_4,T-SNE,4,is_bot,XGBClassifier,{},0.777,0.772,0.778,0.859
pca_7,PCA,7,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.791,0.708,0.789,0.857
pca_2,PCA,2,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.793,0.745,0.781,0.856
pca_3,PCA,3,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.868,0.721,0.847,0.855
tsne_3,T-SNE,3,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.858,0.837,0.856,0.854
pca_7,PCA,7,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.8,0.8,0.8,0.854
pca_2,PCA,2,opinion_community,XGBClassifier,{},0.793,0.759,0.789,0.853
umap_2,UMAP,2,is_bot,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 150}",0.768,0.765,0.77,0.853
pca_2,PCA,2,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.768,0.767,0.768,0.853
pca_3,PCA,3,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.82,0.791,0.816,0.853
pca_3,PCA,3,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.783,0.783,0.783,0.852
pca_7,PCA,7,is_factual,XGBClassifier,{},0.791,0.791,0.791,0.85
pca_2,PCA,2,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 100, 'classifier__n_estimators': 250}",0.789,0.703,0.786,0.85
umap_3,UMAP,3,is_bot,XGBClassifier,{},0.758,0.755,0.76,0.849
pca_3,PCA,3,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.778,0.692,0.777,0.846
pca_7,PCA,7,is_bom_astroturf,XGBClassifier,{},0.79,0.707,0.788,0.846
pca_2,PCA,2,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.861,0.695,0.834,0.843
umap_2,UMAP,2,is_bot,XGBClassifier,{},0.759,0.756,0.761,0.842
pca_3,PCA,3,is_factual,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.8,0.799,0.799,0.841
pca_3,PCA,3,is_toxic,XGBClassifier,{},0.858,0.721,0.842,0.841
pca_2,PCA,2,is_factual,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 50}",0.771,0.771,0.77,0.841
umap_2,UMAP,2,is_factual,XGBClassifier,{},0.8,0.8,0.799,0.84
pca_7,PCA,7,is_factual,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.807,0.807,0.806,0.839
pca_2,PCA,2,is_toxic,XGBClassifier,{},0.844,0.702,0.829,0.838
umap_3,UMAP,3,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.815,0.814,0.814,0.837
pca_3,PCA,3,is_bom_astroturf,XGBClassifier,{},0.776,0.694,0.777,0.837
tsne_4,T-SNE,4,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.769,0.769,0.77,0.835
umap_3,UMAP,3,is_factual,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 50}",0.791,0.791,0.79,0.835
umap_3,UMAP,3,fourway_label,LogisticRegression,{'classifier__max_iter': 1000},0.622,0.589,0.606,0.834
pca_2,PCA,2,is_bom_astroturf,XGBClassifier,{},0.768,0.688,0.77,0.833
tsne_2,T-SNE,2,is_factual,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.797,0.796,0.796,0.832
umap_2,UMAP,2,is_factual,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 100, 'classifier__n_estimators': 100}",0.804,0.804,0.803,0.832
tsne_3,T-SNE,3,is_factual,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 150}",0.792,0.792,0.791,0.83
tsne_3,T-SNE,3,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.763,0.763,0.764,0.829
tsne_3,T-SNE,3,is_factual,XGBClassifier,{},0.766,0.766,0.767,0.828
umap_3,UMAP,3,is_factual,XGBClassifier,{},0.783,0.783,0.783,0.828
pca_2,PCA,2,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.751,0.65,0.748,0.828
tsne_2,T-SNE,2,is_factual,XGBClassifier,{},0.783,0.783,0.783,0.826
tsne_3,T-SNE,3,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.864,0.73,0.848,0.824
tsne_2,T-SNE,2,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.786,0.786,0.786,0.823
pca_3,PCA,3,is_factual,XGBClassifier,{},0.768,0.768,0.768,0.82
tsne_2,T-SNE,2,fourway_label,LogisticRegression,{'classifier__max_iter': 25},0.578,0.556,0.569,0.82
umap_2,UMAP,2,fourway_label,LogisticRegression,{'classifier__max_iter': 1000},0.604,0.561,0.58,0.82
tsne_4,T-SNE,4,is_factual,XGBClassifier,{},0.775,0.775,0.776,0.819
umap_2,UMAP,2,is_factual,LogisticRegression,{'classifier__max_iter': 25},0.797,0.796,0.796,0.819
tsne_4,T-SNE,4,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.867,0.74,0.852,0.815
tsne_4,T-SNE,4,is_factual,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.766,0.766,0.766,0.808
tsne_2,T-SNE,2,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.869,0.738,0.853,0.806
pca_2,PCA,2,is_factual,XGBClassifier,{},0.739,0.739,0.739,0.804
tsne_2,T-SNE,2,is_toxic,XGBClassifier,{},0.863,0.736,0.85,0.804
umap_3,UMAP,3,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.863,0.713,0.842,0.799
umap_3,UMAP,3,is_toxic,XGBClassifier,{},0.86,0.717,0.842,0.799
tsne_4,T-SNE,4,fourway_label,LogisticRegression,{'classifier__max_iter': 1000},0.541,0.503,0.526,0.798
tsne_3,T-SNE,3,is_toxic,XGBClassifier,{},0.858,0.727,0.844,0.797
tsne_4,T-SNE,4,is_toxic,XGBClassifier,{},0.867,0.742,0.853,0.786
tsne_3,T-SNE,3,fourway_label,LogisticRegression,{'classifier__max_iter': 25},0.543,0.503,0.524,0.785
pca_3,PCA,3,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.855,0.678,0.826,0.782
umap_2,UMAP,2,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.857,0.701,0.835,0.781
pca_2,PCA,2,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.855,0.678,0.826,0.781
tsne_2,T-SNE,2,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.762,0.59,0.728,0.778
tsne_3,T-SNE,3,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.777,0.617,0.746,0.778
tsne_4,T-SNE,4,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.762,0.574,0.721,0.776
tsne_2,T-SNE,2,is_bom_astroturf,XGBClassifier,{},0.76,0.631,0.744,0.774
umap_2,UMAP,2,is_toxic,XGBClassifier,{},0.857,0.704,0.836,0.774
umap_3,UMAP,3,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.699,0.691,0.701,0.766
umap_3,UMAP,3,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.749,0.562,0.711,0.765
tsne_2,T-SNE,2,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.692,0.677,0.691,0.763
openai_embeddings,,1536,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.758,0.468,0.666,0.759
umap_2,UMAP,2,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.688,0.677,0.688,0.758
tsne_3,T-SNE,3,is_bom_astroturf,XGBClassifier,{},0.748,0.617,0.734,0.756
openai_embeddings,,1536,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.752,0.429,0.646,0.753
umap_2,UMAP,2,is_bom_astroturf,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 250}",0.754,0.54,0.703,0.751
tsne_4,T-SNE,4,is_bom_astroturf,XGBClassifier,{},0.744,0.593,0.722,0.748
umap_3,UMAP,3,is_bom_astroturf,XGBClassifier,{},0.738,0.603,0.723,0.747
tsne_4,T-SNE,4,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.818,0.565,0.771,0.746
pca_7,PCA,7,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 250}",0.748,0.496,0.676,0.743
umap_2,UMAP,2,is_bom_astroturf,XGBClassifier,{},0.735,0.567,0.708,0.743
pca_3,PCA,3,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 100, 'classifier__n_estimators': 150}",0.748,0.507,0.681,0.739
tsne_3,T-SNE,3,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.662,0.638,0.656,0.736
pca_2,PCA,2,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.753,0.683,0.732,0.733
tsne_3,T-SNE,3,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.817,0.525,0.756,0.725
tsne_2,T-SNE,2,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.831,0.613,0.793,0.722
pca_2,PCA,2,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 100, 'classifier__n_estimators': 100}",0.743,0.486,0.669,0.718
umap_3,UMAP,3,is_toxic,LogisticRegression,{'classifier__max_iter': 1000},0.822,0.626,0.794,0.714
pca_3,PCA,3,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.714
pca_7,PCA,7,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.712
pca_2,PCA,2,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.711
umap_2,UMAP,2,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.829,0.632,0.799,0.707
openai_embeddings,,1536,is_bom_overall,XGBClassifier,{},0.736,0.552,0.697,0.706
pca_7,PCA,7,is_bom_overall,XGBClassifier,{},0.729,0.568,0.701,0.704
umap_3,UMAP,3,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 1000},0.738,0.457,0.66,0.704
pca_3,PCA,3,is_bom_overall,XGBClassifier,{},0.734,0.574,0.706,0.701
umap_2,UMAP,2,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.748,0.428,0.65,0.696
pca_2,PCA,2,is_bom_overall,XGBClassifier,{},0.74,0.574,0.708,0.696
tsne_4,T-SNE,4,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.59,0.546,0.573,0.695
tsne_2,T-SNE,2,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.736,0.441,0.652,0.694
tsne_2,T-SNE,2,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 100, 'classifier__n_estimators': 250}",0.752,0.429,0.646,0.682
tsne_3,T-SNE,3,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 50}",0.752,0.432,0.647,0.675
tsne_4,T-SNE,4,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 250}",0.753,0.437,0.65,0.668
tsne_2,T-SNE,2,is_bom_overall,XGBClassifier,{},0.734,0.515,0.68,0.665
umap_3,UMAP,3,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 250}",0.751,0.429,0.645,0.651
tsne_3,T-SNE,3,is_bom_overall,XGBClassifier,{},0.73,0.53,0.685,0.651
tsne_4,T-SNE,4,is_bom_overall,XGBClassifier,{},0.718,0.511,0.672,0.645
tsne_3,T-SNE,3,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.76,0.432,0.657,0.639
tsne_4,T-SNE,4,is_bom_astroturf,LogisticRegression,{'classifier__max_iter': 25},0.756,0.43,0.654,0.639
umap_2,UMAP,2,is_bom_overall,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 250}",0.752,0.429,0.646,0.638
umap_3,UMAP,3,is_bom_overall,XGBClassifier,{},0.732,0.531,0.686,0.634
umap_3,UMAP,3,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.623
umap_2,UMAP,2,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.615
tsne_2,T-SNE,2,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.615
umap_2,UMAP,2,is_bom_overall,XGBClassifier,{},0.718,0.479,0.657,0.609
tsne_4,T-SNE,4,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.606
tsne_3,T-SNE,3,is_bom_overall,LogisticRegression,{'classifier__max_iter': 25},0.752,0.429,0.646,0.604
