token,pca_2_component_1,pca_2_component_2,word_count
wants,-0.9578057,0.25996107,2194
fair,-8.550451,9.402266,2191
way,-5.850796,-0.47519416,2187
ll,-4.2488074,-0.17323671,2179
thing,-7.129415,-2.8234253,2177
good,-3.8185337,-2.3760536,2149
support,1.5440364,-1.7659913,2123
managers,-1.1343402,5.0993767,2108
years,1.7714297,-6.9333763,2085
another,-1.0902542,-2.850096,2079
fact,-2.677102,3.5309083,2068
many,-0.51022553,-0.50674045,2058
witness,0.86486584,10.664055,2054
back,-0.38789544,-5.4729667,2027
documents,-0.24128862,9.966606,2027
testify,-0.8599524,11.381651,2010
sethabramson,-1.2550584,5.6781664,2007
also,0.31934085,1.9317464,2003
state,5.598758,-3.0982473,1994
potus,-1.6640893,-5.1391735,1961
ever,-4.237373,-3.4196384,1940
parnas,8.207119,8.758548,1937
watch,1.7761147,-3.3910694,1927
crime,-4.2379236,2.029738,1924
facts,-3.9200852,1.5484848,1921
clear,-5.546471,4.312077,1920
week,1.9109149,-3.093434,1917
poll,3.4355173,0.58822465,1897
media,-1.1306547,-7.142311,1894
rules,-3.6931024,9.194576,1892
schumer,1.1775093,-0.78657526,1882
barr,4.7478366,7.2710004,1882
other,-0.8173244,2.1161854,1880
war,-0.010051962,-1.7474663,1863
told,2.718265,1.855527,1856
senatemajldr,-4.943751,1.7770543,1853
well,-2.794876,-2.0175145,1847
great,-1.7233088,-7.17888,1845
saying,-2.8258395,2.9398637,1833
read,-2.3235054,2.8777971,1828
much,-5.5464478,-3.1375072,1809
done,-6.4090114,-2.8753014,1801
called,3.623838,1.7734278,1799
oath,-2.0373538,11.429251,1798
majority,-4.2031703,2.493224,1783
am,-2.6304617,-0.038447212,1779
kylegriffin,5.509854,5.690366,1776
own,-1.7135514,0.56651485,1774
keep,-3.0409303,-2.9577692,1767
isn,-5.0127044,2.1497684,1765
may,-2.233273,2.6336806,1748
testimony,2.5387118,11.694556,1744
fox,5.0093856,-0.9652901,1739
cnn,6.387784,-1.5315503,1738
hear,-3.8864307,4.2720494,1731
truth,-3.1873248,1.8953174,1728
man,-1.7883953,-1.0763091,1719
funder,1.2240024,2.3086932,1702
where,-0.11556873,-0.4989782,1688
same,-2.915079,-2.4773107,1687
without,-5.4171305,4.001133,1686
corrupt,-1.809321,-2.6063917,1680
job,-3.0380085,-0.88075674,1680
too,-3.7207325,-2.145765,1678
put,-3.0630465,0.49813363,1649
court,0.8811603,6.692155,1636
under,1.8915409,1.4958701,1631
next,-1.58,-0.60648227,1631
removed,-2.0505013,4.3938875,1608
chief,2.747751,6.4163833,1606
remember,-2.2532663,-3.8464246,1606
dershowitz,1.6846787,7.0141783,1606
since,-1.0201697,-2.6118848,1594
bill,2.584813,-0.74597204,1589
graham,2.3242178,7.352209,1587
wrong,-4.370666,-1.3235191,1586
send,-4.7732515,0.97980815,1581
states,-0.32593745,1.0225728,1579
off,0.949949,-6.3335,1577
already,-2.9420204,0.052121215,1576
nadler,0.4955101,-5.0333343,1572
believe,-6.882638,2.5644243,1562
tomfitton,0.53401834,-3.589748,1558
collins,1.4266628,4.7412877,1558
lawyers,1.850834,6.409342,1551
doing,-3.977474,-3.1002266,1549
question,-0.38659844,4.203829,1548
hold,-3.811369,2.9990287,1545
foreign,3.290248,3.0971093,1533
anyone,-4.821362,1.0871922,1525
national,4.2335424,1.538842,1524
msnbc,4.7174883,4.800297,1523
dem,1.3513314,-4.8639946,1519
votes,-2.2744617,3.4979732,1518
vindman,10.860654,4.1329103,1517
joe,0.9236605,-4.585219,1515
needs,-3.0411596,1.7241702,1504
those,-1.427934,0.26275474,1504
days,1.3486383,-2.4945338,1503
via,8.030504,0.5244332,1488
night,5.2695255,-2.0613172,1487
campaign,6.194367,-5.1121926,1482
times,4.8876266,-0.076114714,1479
lindseygrahamsc,-3.3606408,0.8637301,1467
crimes,-4.2539406,2.1908612,1464
help,-1.6223736,-0.7291788,1457
forever,-5.061538,-2.5562823,1456
iran,4.216915,-4.1543126,1454
democratic,1.9054207,-1.5630373,1453
stop,-4.6551867,-3.3706436,1451
reason,-5.1963863,1.6984632,1449
romney,3.2736266,-1.7688574,1448
both,-0.66064095,2.6620204,1432
give,-3.3792593,-1.2356248,1424
argument,-4.3710318,6.996285,1422
work,-2.7943625,-3.9670281,1420
report,6.515495,3.3136637,1412
please,-2.4008403,-1.05709,1394
real,-3.9460013,-0.87533087,1394
making,-0.5333584,-0.04397804,1390
year,0.66816854,-5.5445285,1389
end,-3.0991135,-1.6615012,1385
lawyer,6.411705,9.502145,1382
repmarkmeadows,-2.159315,-4.5531015,1375
public,0.29637355,5.054157,1375
video,4.713737,-3.2414653,1369
removal,1.1688533,5.614075,1369
calling,2.7301817,1.9645036,1366
getting,-2.7053077,-5.0377007,1366
united,-1.4291406,-0.10672347,1364
look,-2.4930036,-2.923897,1354
through,-2.8802438,-1.9591012,1351
leader,0.43596524,2.4237642,1350
left,-2.442292,-7.003853,1343
show,0.63195705,-3.0565903,1338
until,-3.726529,1.9005436,1337
dbongino,-1.977076,-8.572286,1329
tell,-2.142584,0.5661725,1326
russia,2.7988336,-5.9585567,1317
try,-5.716107,-2.0374136,1315
something,-3.897112,0.78798896,1314
investigation,3.1322238,2.6686864,1312
remove,0.0017629083,1.4589816,1312
thank,0.09556631,-4.674944,1302
neal_katyal,-0.5757718,9.537487,1294
anything,-6.956675,-0.43076122,1289
everything,-4.600467,-1.6439548,1286
glennkirschner,-0.2355923,7.6534996,1275
always,-3.895668,-2.7993379,1270
calls,8.151358,3.018023,1269
point,-2.1265488,0.5831692,1269
enough,-4.262851,-0.39030114,1267
come,-3.4918706,1.77557,1267
yes,-2.8037426,0.79015696,1257
yet,-3.7132995,-1.9441578,1254
coronavirus,4.686119,-9.342702,1251
hand,0.16852234,0.07310774,1243
everyone,-2.2530856,-1.8927773,1240
lev,6.712949,5.946695,1240
article,-0.7295937,5.1437006,1236
far,-0.19015586,-2.7296114,1234
its,-0.4690297,2.3490806,1225
voters,-0.3525139,-0.6891983,1219
asked,3.2270083,5.2207017,1216
part,0.24643108,2.3408442,1215
actually,-3.5864203,1.013516,1215
deal,0.76800567,-5.533128,1213
corruption,2.2209048,0.081734404,1211
starr,2.5677752,6.9227805,1211
tonight,3.8260763,-2.5258117,1205
wh,4.7846637,5.797207,1198
hearing,0.67901796,2.5348485,1192
lies,-0.1640871,-4.0602503,1189
ago,3.245809,-2.476743,1186
former,11.895993,8.185813,1185
whistleblower,4.6548944,0.35729098,1184
moscowmitch,-1.1835144,0.83972156,1175
hearings,0.8299105,1.1388162,1173
true,-2.8640647,-0.8079824,1171
teapainusa,-1.2333429,1.9578515,1171
tried,1.221849,-3.1849189,1167
watching,-0.84634376,-6.56498,1165
mr,2.0687232,3.3839726,1164
elected,-2.4943824,-3.411372,1163
sure,-3.9694765,-1.0730978,1161
wanted,-1.7963521,-0.44536382,1156
hope,-5.5226207,-2.9789548,1149
criminal,-0.19620317,5.2214723,1140
knows,-2.4978504,0.66452473,1133
fake,-0.031663448,-7.6174726,1130
rwpusa,-1.5647428,3.5434616,1128
committee,6.742662,4.9489884,1128
obstruction,-1.1469038,6.2384,1127
marklevinshow,-0.13875362,-6.8544397,1125
failed,-1.2699016,-4.8345838,1122
start,-1.4843373,-1.4150318,1113
away,-3.68831,-2.58892,1110
cannot,-5.6011553,6.8771467,1106
roberts,0.31480625,7.699957,1100
took,1.8958923,-3.260037,1100
acquittal,-0.6548891,1.9524468,1097
gopleader,-2.5099785,-6.0171566,1095
post,6.8035245,1.4750761,1094
acquitted,-5.2946386,-1.3204701,1091
things,-4.3804655,0.87067425,1091
gets,2.4917645,-4.0099306,1086
lying,-2.0962095,-1.2875766,1084
three,1.8133488,-3.4969625,1083
speech,2.1193178,-4.6102896,1077
agree,-3.3852947,0.095601,1076
inquiry,3.5656977,6.337143,1075
security,3.5045176,2.1387327,1067
entire,-2.37848,-2.7271345,1062
full,0.35827422,1.5534171,1056
wasn,-2.2302036,0.8752566,1050
himself,0.8421725,4.9389715,1045
nation,-2.4680169,-1.0267175,1038
life,-0.87951,-4.027963,1034
bad,-4.184382,-2.3506765,1034
oh,-2.304296,-1.816528,1031
money,0.44467878,-5.907582,1030
long,-2.6882277,-1.2961465,1024
big,0.11445557,-4.6625886,1022
once,-0.4051619,-1.5469764,1022
best,-1.6197824,-4.441529,1022
repmattgaetz,-1.1039443,-5.222012,1021
giuliani,8.669128,6.3981347,1018
matter,-4.071403,1.2094948,1017
means,-3.9044414,4.3843393,1016
used,-0.2827858,-0.43179047,1013
aid,4.651244,0.016563946,1009
cover,-1.0348132,3.8397815,1007
thought,-3.4646404,-0.42169014,1006
lindsey,2.4563375,4.1283245,1001
makes,-2.3059156,1.9261374,999
washington,5.226249,0.86777097,993
mueller,3.359786,-1.7843444,991
crazy,-3.028393,-6.466124,988
joncoopertweets,1.2847553,3.0606468,981
hours,3.5945208,-0.13585275,978
talking,-1.0443416,-3.0297384,977
donaldjtrumpjr,-1.9147984,-7.1203637,977
ken,2.7310486,4.838917,975
rudygiuliani,-1.3254166,-2.1076531,965
pro,2.4341483,-2.8961072,962
having,-2.6259723,-1.3448039,960
reminder,1.0840992,0.20248623,957
coup,-1.0426949,-5.796747,957
maddow,5.314942,4.687259,956
press,4.7487817,0.004267539,953
coming,-1.2323158,-1.4683057,950
world,-1.3156296,-4.0253654,948
act,0.8411753,3.3617408,947
arguments,0.44698036,5.008014,943
high,-1.4043816,-1.0245017,942
lost,-1.5287547,-3.1433215,938
attorney,7.018083,4.5415587,936
pres,2.7926683,4.1657653,936
lied,2.1805632,0.8479816,934
constitutional,-1.5578879,5.1150165,931
seanhannity,2.7071536,-6.226806,930
someone,-2.2011318,-1.2038239,927
hunter,1.4757991,0.68876904,924
might,-2.6428232,3.6298506,924
record,0.9427759,-3.9253116,922
hey,-1.883821,-3.6444645,922
judge,3.5577095,6.7864537,920
ask,-2.2933264,3.4357808,915
plan,2.7773712,-2.1614275,914
second,-0.4731747,2.184849,911
stand,-3.1424227,0.74059474,910
subpoena,0.4687696,8.251583,909
government,2.1945217,-0.022811351,908
susan,1.0754262,2.4978492,906
manager,4.585709,4.1961894,905
amy_siskind,1.2106642,2.0501785,902
weeks,0.67270297,-2.0806825,901
absolutely,-3.6445825,-0.09544171,900
voting,-2.337596,0.6549848,895
talk,-2.3932998,-3.847787,895
face,-2.2920213,-0.93266135,892
dear,-2.7727978,-2.590202,889
heard,-0.4544167,2.5281248,889
lie,-3.06021,-2.328389,889
allow,-3.0112092,6.4413757,886
single,-2.0138044,1.7428069,886
using,0.56067896,-1.0999256,885
rule,-0.93701077,5.874065,880
lot,-2.9981647,-1.3356,879
live,2.2466307,1.3108892,872
counsel,7.055273,6.8752456,871
move,-2.483761,0.7035297,870
better,-4.9551196,-3.3231192,868
run,-1.9265002,-1.5422258,867
impeachable,-4.0698676,7.8423915,867
phone,5.3850546,-1.8837101,867
judiciary,4.663362,4.571475,866
guilty,-5.0174522,4.614104,866
conduct,-2.061434,7.624529,863
yesterday,1.8730758,-1.3904126,861
whitehouse,-0.8840979,-3.7579746,859
chuck,0.026526915,-2.0067966,858
general,8.44358,5.8423934,857
senschumer,-3.20714,2.4953458,854
duty,-1.4635309,7.0296345,853
whole,-4.8284044,-2.5911138,851
continue,-2.149021,1.5503461,848
russian,7.6127667,-1.9715784,842
important,-1.1188172,3.5776882,841
allowed,-1.878349,5.652079,840
morning,3.547178,-1.6192069,840
exactly,-3.3891873,1.3069103,839
democracy,-1.2301921,0.8138854,838
shows,2.3593025,-1.6247487,837
change,-3.2607245,3.3186927,837
thinks,-1.7040225,-0.29184824,836
whether,-2.1469142,5.2410545,836
impartial,-3.6692665,8.123842,829
months,0.9869617,-2.8058972,825
million,5.419028,-6.5848193,823
guy,-1.1669643,-1.3166322,820
mean,-3.6519756,2.8903344,819
dismiss,-2.0043337,1.9753624,819
use,-2.2603886,0.97890687,817
hard,-4.451245,-1.6678759,817
started,0.509758,-4.2839007,817
looks,-0.226188,-1.3041279,815
win,-4.9067726,-4.6187844,813
love,-2.7526412,-2.143968,813
federal,6.3518534,4.683584,813
words,-1.753667,1.5540079,812
care,-4.2698627,-2.0323434,808
seen,0.62241256,-1.6015389,807
putin,3.5906355,1.1540567,807
key,3.3411813,7.4710336,806
such,-3.7690976,0.06741518,805
letter,6.904169,4.3396473,801
top,9.589678,2.1982293,801
congressional,3.4332316,0.4909178,801
working,0.47861618,-4.418045,799
knew,-0.7963116,1.0387912,798
less,-1.8691957,-3.6043077,794
else,-4.7041507,-1.3322208,793
including,3.2720609,4.7833467,790
repandybiggsaz,-2.137985,-2.6016264,790
charges,-0.6117335,3.2043173,789
gopchairwoman,-0.31631285,-6.683444,785
threat,-1.267767,2.1398087,780
committed,-0.11954428,4.9720974,777
alan,3.3944085,2.337964,775
mmpadellan,-1.8127741,0.21134457,775
members,2.2553053,1.1831708,767
military,4.0080857,0.8207204,767
taking,1.7608135,-2.9724293,766
tomorrow,-0.92854303,-1.7467697,764
protect,0.78848934,-1.5834584,758
wouldn,-4.4592543,2.5748096,753
aren,-4.6662097,-1.3326699,749
official,4.540367,3.4997103,745
billkristol,-0.5624691,4.210982,743
presidential,1.5036889,0.6294758,742
running,-0.029895874,-3.2049673,741
become,-0.42188856,0.16692683,741
rudy,5.0027966,3.2506192,740
alexander,6.3304152,5.792979,739
twitter,2.6164076,-4.4715204,739
information,3.3860066,4.9774156,738
therickwilson,1.3870604,1.5340536,738
wait,-2.5890028,0.77784836,737
presidents,-2.1056538,0.6093487,737
story,2.186503,1.0293385,736
claim,-1.8771822,4.2170796,734
tweet,0.28396952,0.24707295,733
goes,1.1520025,-1.2705315,733
maybe,-4.2049975,-1.2210093,732
wow,1.4889406,-0.8691952,731
totally,-2.7607262,-4.3469586,726
impotus,-0.72474355,-0.40222156,725
find,-1.8591768,-0.4751277,722
holding,-0.78599024,1.0182648,721
thread,2.3408098,-0.3876284,718
foxnews,2.4301448,-7.126548,716
moment,-3.1497107,-1.9707063,715
imagine,-1.8048311,1.0677096,710
held,-0.9199594,-0.679831,710
book,4.8410854,3.0071394,708
person,-2.6390667,0.6164355,708
sent,-0.700906,0.604776,708
acquit,-3.4497068,3.916607,707
jerry,2.857873,-5.062736,707
comes,-0.7026093,-0.031722218,706
interview,6.7076683,-1.4362638,703
retweet,-0.53813237,-1.3695912,703
lead,1.8817476,1.3960454,702
soleimani,3.8660946,0.23003824,700
bernie,0.9103764,-8.022271,697
barbmcquade,-0.8788571,5.9722204,696
senategop,-2.3373084,-0.031124705,692
anti,8.100857,-5.684998,692
tr,-0.8991269,1.8969527,692
hasn,-0.13618739,1.6418247,691
serious,-2.2694926,2.249367,691
resolution,2.7634919,0.18066697,689
behind,0.9797932,-1.6733522,688
attack,4.5770273,-1.0577879,686
gave,3.359147,1.3251265,685
course,-2.1706166,0.08953196,685
scam,-1.1915226,-6.755232,685
nixon,2.0936024,4.26278,683
statement,1.7097199,6.3020167,682
approval,4.044572,-7.490554,675
despite,0.9519706,-1.656513,675
tv,2.0373318,-1.5461612,674
trade,3.2459025,-11.831009,668
telling,-0.49778706,0.37237945,667
impe,0.2169238,1.2753009,666
demand,-0.8047538,2.9213355,663
turn,-0.8653156,-1.1543436,663
block,0.19794253,5.3734555,662
abused,0.3306564,4.338021,662
ahead,4.4751067,2.2973688,662
response,1.6030972,-0.1311613,659
administration,4.283927,3.3593767,659
officials,6.4507008,5.1723776,659
repswalwell,-1.8091909,0.6259095,653
name,-0.19052531,0.3191366,653
understand,-5.3078,1.0051327,652
lt,6.573626,2.8949099,652
line,-0.11421506,-0.26600686,650
malmet,0.43352613,0.59375364,649
idea,-0.26067233,0.1972006,648
between,2.8484282,0.93436277,648
pence,6.2811723,2.0229425,647
presidency,-0.9607896,-0.28157973,647
investigate,2.2372472,3.1961184,646
chairman,3.8070452,-0.5348078,644
sending,-0.66653246,-0.36948675,643
economy,1.0553243,-10.12394,643
debate,0.3057251,0.26328602,642
rally,6.5364194,-4.720048,642
paul,4.8004065,0.53757566,640
went,3.0816271,-3.0563867,639
literally,-1.0908433,1.2144507,638
perfect,-0.52547795,-0.8653322,637
set,-1.5281483,2.7388957,637
decision,1.4096174,2.6095946,635
bribery,2.282176,3.4842336,635
mitt,3.2805252,-0.465183,634
floor,1.6707292,0.447178,632
learned,-0.29369983,3.6835115,632
jim_jordan,-1.1612128,-3.9390204,631
murkowski,3.198132,4.1197205,631
spent,0.9938224,-6.4842153,629
fight,0.08943391,-1.7411538,628
fired,4.559755,0.7141683,627
resign,0.66707957,1.4683399,626
thebradfordfile,-1.8549094,-4.1857677,625
union,5.073121,-3.0508864,625
old,1.9488965,-4.0502114,624
order,1.419274,-0.24672605,622
open,-0.1017569,1.404036,622
least,-0.18042278,1.6242193,621
personal,2.3558123,3.7185693,620
release,1.662079,2.476205,620
due,-2.506823,0.6751709,618
iowa,1.4521507,-6.412822,618
word,-1.1319203,-1.7526357,617
latest,4.23218,-2.2893229,617
little,-1.7571472,-4.3454785,616
biggest,-0.34398893,-4.061094,615
jury,-0.98267996,8.644292,613
trials,-3.949811,7.6637936,613
around,0.7124017,-3.7066553,613
im,-1.3877572,-0.68230635,612
china,4.418995,-9.714826,606
tells,2.8632686,2.5546758,604
urgent,-3.946757,-4.5039434,603
total,1.1347976,-2.2873669,603
answer,-2.639163,3.4471445,603
afraid,-3.5896227,3.5481682,601
st,2.4379117,-1.9444642,600
admits,5.1584377,-0.34841567,598
doj,5.535614,4.2129035,598
likely,-0.066876344,3.6277068,598
ready,-1.0446148,-1.7952749,598
defend,-0.8397197,2.2475834,597
shouldn,-3.1702056,2.2952206,597
palmerreport,-0.011512892,-0.7819696,596
four,-0.15212925,1.532459,593
judicialwatch,2.4460897,-2.1332042,592
asking,1.036811,-0.094943196,591
impeac,-1.3439503,-0.37988946,591
repleezeldin,-0.43669376,-3.378254,591
happen,-3.9524186,-0.23634374,590
politics,-1.7940656,-1.2317662,588
marshablackburn,-1.7796955,-1.0321084,587
favor,-0.07167956,1.9491556,587
alandersh,-1.2182302,4.275528,587
dangerous,-0.7117335,0.27067673,585
break,0.35217983,-0.77098835,585
lesson,-0.36618719,2.0435796,585
kind,-2.593287,1.6506444,582
pens,0.69755185,-10.603461,581
strike,5.4201994,-0.5707438,581
daily,2.528019,-2.3714118,581
representatives,0.8924258,2.0876696,577
senatorcollins,-2.308038,3.4063041,577
justinamash,-1.3398285,5.2281237,576
almost,-1.052967,-0.7425264,575
shit,-3.2792222,-3.3058307,575
sotu,1.1733177,-4.8437314,573
mollyjongfast,-1.5770464,1.2477753,572
waltshaub,0.1628872,4.0005765,571
stevescalise,-2.9981074,-5.2806625,570
based,-1.7706025,0.538945,568
claims,2.5114918,2.7957702,565
lose,-4.4153214,-2.071151,565
hillary,0.38838804,-3.442513,564
mkraju,4.1073427,2.7561388,563
control,-1.8201817,-0.5879422,562
bipartisan,-3.9752164,-0.05984241,562
folks,-2.4412615,-2.3163981,562
instead,-1.0841421,-3.2727,559
possible,0.099424586,4.449669,558
pretty,-1.246866,-0.32785222,558
col,5.9352098,2.0867705,555
giving,0.14241765,-0.03169352,554
supreme,0.5642983,2.6555386,553
wordswithsteph,2.146753,2.1097097,552
thehill,2.8986695,1.2054919,551
repdougcollins,-1.7107748,-3.184312,550
pressure,3.3203518,2.8762503,550
place,0.345628,-0.47818562,549
attention,-0.3263548,-0.85572284,549
passed,-0.059426714,-0.7436589,548
crewcrew,1.9424806,3.6007407,547
numbers,0.33610252,-3.0918305,546
jeff,5.1199174,-1.5273236,545
following,2.5031261,-1.2904891,542
king,1.691686,0.9887054,542
accused,2.7576292,1.2709459,540
seems,-2.4256346,2.276268,539
few,-0.56493676,-2.607667,536
actions,0.18039285,2.7101254,535
listen,-0.90303934,0.032011427,535
feel,-4.533793,-2.3899167,534
questions,0.5742324,2.165078,534
mind,-1.7208959,0.16334684,533
tuesday,4.2737145,0.26707315,533
proceedings,0.72979003,1.8162901,532
check,1.9292878,1.0448357,530
distract,-0.8729083,-2.33781,529
sitting,0.8050537,0.6677138,528
citizen,2.8792226,2.0338557,528
hate,-4.187203,-6.122594,527
head,1.9298346,-2.930767,525
raise,0.8546064,-0.350438,524
nobody,-1.9801469,-2.6781614,524
